metric,value,source
mean_eer_percent,3.75,DOMCS_EEG_TIFS_20260427_FINAL_v7_COMPLETE_MAIN.pdf
std_eer_percent,0.20,DOMCS_EEG_TIFS_20260427_FINAL_v7_COMPLETE_MAIN.pdf
mean_auc,0.9928,DOMCS_EEG_TIFS_20260427_FINAL_v7_COMPLETE_MAIN.pdf
std_auc,0.0008,DOMCS_EEG_TIFS_20260427_FINAL_v7_COMPLETE_MAIN.pdf
mean_crr_percent,86.95,DOMCS_EEG_TIFS_20260427_FINAL_v7_COMPLETE_MAIN.pdf
std_crr_percent,0.40,DOMCS_EEG_TIFS_20260427_FINAL_v7_COMPLETE_MAIN.pdf
subjects,109,DOMCS_EEG_TIFS_20260427_FINAL_v7_COMPLETE_MAIN.pdf
enrollment_runs,R01-R02,DOMCS_EEG_TIFS_20260427_FINAL_v7_COMPLETE_MAIN.pdf
verification_runs,R03-R14,DOMCS_EEG_TIFS_20260427_FINAL_v7_COMPLETE_MAIN.pdf
enrollment_k,3,DOMCS_EEG_TIFS_20260427_FINAL_v7_COMPLETE_MAIN.pdf
