Model,Noise_Type,EER_%,AUC
E1-ArcFace,Clean,3.65,0.9925
E1-ArcFace,AWGN 30dB,3.65,0.9924
E1-ArcFace,AWGN 20dB,3.81,0.9918
E1-ArcFace,AWGN 10dB,7.44,0.976
E1-ArcFace,AWGN 5dB,20.17,0.8811
E1-ArcFace,AWGN 0dB,36.33,0.69
E1-ArcFace,Band-limited (60Hz+drift),3.71,0.9922
E2-ArcFace+Orth,Clean,3.62,0.9926
E2-ArcFace+Orth,AWGN 30dB,3.63,0.9925
E2-ArcFace+Orth,AWGN 20dB,3.76,0.9919
E2-ArcFace+Orth,AWGN 10dB,7.36,0.9762
E2-ArcFace+Orth,AWGN 5dB,20.13,0.8816
E2-ArcFace+Orth,AWGN 0dB,36.38,0.6915
E2-ArcFace+Orth,Band-limited (60Hz+drift),3.68,0.9923
E3-DOMCS-EEG,Clean,4.17,0.9918
E3-DOMCS-EEG,AWGN 30dB,4.17,0.9917
E3-DOMCS-EEG,AWGN 20dB,4.25,0.9914
E3-DOMCS-EEG,AWGN 10dB,8.0,0.975
E3-DOMCS-EEG,AWGN 5dB,21.43,0.8705
E3-DOMCS-EEG,AWGN 0dB,37.91,0.6757
E3-DOMCS-EEG,Band-limited (60Hz+drift),4.21,0.9916
