attack,setting,auc,eer,threshold,far,frr,attack_success_rate,genuine_score_drop,impostor_score_rise
CLEAN,baseline,0.9946964208827945,0.033318136682425364,0.4664892852306366,0.033318136682425385,0.033318136682425385,,0.0,0.0
FGSM,eps=0.001,0.9918280286222676,0.04192555212112978,0.4664892852306366,0.05876736111111111,0.033318136682425385,0.05876736111111111,0.0,0.017644541208557907
FGSM,eps=0.002,0.9905174710634777,0.04564113771349039,0.4664892852306366,0.07157986111111111,0.033318136682425385,0.07157986111111111,0.0,0.03525059704267025
FGSM,eps=0.005,0.9852981403250244,0.058956505962083294,0.4664892852306366,0.1271875,0.033318136682425385,0.1271875,0.0,0.08749843590976122
FGSM,eps=0.01,0.971145177587438,0.08785789885613975,0.4664892852306366,0.25789930555555557,0.033318136682425385,0.25789930555555557,0.0,0.17082464400299716
PGD,"eps=0.002,steps=7",0.9905142190604167,0.045662308667052495,0.4664892852306366,0.07159722222222223,0.033318136682425385,0.07159722222222223,0.0,0.03528895530198092
PGD,"eps=0.005,steps=7",0.9852138721526229,0.05914254745874177,0.4664892852306366,0.12807291666666668,0.033318136682425385,0.12807291666666668,0.0,0.08807914265349406
PGD,"eps=0.01,steps=7",0.9701313897710233,0.08969364664195649,0.4664892852306366,0.2649826388888889,0.033318136682425385,0.2649826388888889,0.0,0.17411860352847727
LINE_NOISE_50HZ,amp=0.005,0.994696171353942,0.03333061744277912,0.4664892852306366,0.03332041116848213,0.03333062708043192,,3.5762786865234375e-07,1.8700957298278809e-06
LINE_NOISE_50HZ,amp=0.01,0.994695619136415,0.033336862641782386,0.4664892852306366,0.03332964403984807,0.03333687227943519,,8.940696716308594e-07,1.2420117855072021e-05
LINE_NOISE_50HZ,amp=0.03,0.9946896144498224,0.033393088708117385,0.4664892852306366,0.033435735321681335,0.03335560787644498,,3.141164779663086e-05,0.00013723224401474
LINE_NOISE_50HZ,amp=0.05,0.9946732607800133,0.0335179830505299,0.4664892852306366,0.03361871579741592,0.03345553106049724,,0.00023370981216430664,0.0003724098205566406
