experiment,mean_auc,std_auc,mean_eer_%,std_eer_%
B_epoch_80ep,0.9928,0.0011,3.78,0.13
B_epoch_40ep,0.9915,0.0005,4.14,0.35
B_epoch_20ep,0.9909,0.0016,4.41,0.3
B_epoch_60ep,0.9923,0.0005,3.86,0.13
C_emb_dim128,0.9923,0.0005,3.86,0.13
C_emb_dim256,0.9926,0.0003,3.7,0.02
C_emb_dim64,0.9873,0.0055,4.99,1.05
G1_random_split,,,,
G2_same_task,,,,
G3_baseline_to_task,0.9923,0.0005,3.86,0.13
E4_arcface_supcon_orth,0.9913,0.0018,4.28,0.48
E3_arcface_state,0.9917,0.001,3.85,0.46
E5_full_model,0.9923,0.0005,3.86,0.13
E1_arcface_only,0.9916,0.001,3.94,0.31
E2_arcface_supcon,0.9919,0.0004,4.12,0.1
A1_baseline_60ep_seed1,0.9926,,3.73,
A2_multiseed_60ep_5seeds,0.9928,0.0008,3.75,0.2
