method,name,seed,eer_pct,auc
softmax,E0: CNN + Softmax,1,3.74,0.993
softmax,E0: CNN + Softmax,2,4.0,0.9926
softmax,E0: CNN + Softmax,3,4.02,0.9903
softmax,E0: CNN + Softmax,4,3.75,0.9924
softmax,E0: CNN + Softmax,5,3.93,0.9908
triplet,E_T: CNN + Triplet,1,3.58,0.9922
triplet,E_T: CNN + Triplet,2,4.07,0.9891
triplet,E_T: CNN + Triplet,3,3.98,0.9884
triplet,E_T: CNN + Triplet,4,3.88,0.9902
triplet,E_T: CNN + Triplet,5,3.17,0.9936
supcon_only,E_SC: CNN + SupCon (standalone),1,6.65,0.9835
supcon_only,E_SC: CNN + SupCon (standalone),2,7.07,0.9807
supcon_only,E_SC: CNN + SupCon (standalone),3,6.83,0.9818
supcon_only,E_SC: CNN + SupCon (standalone),4,6.96,0.9815
supcon_only,E_SC: CNN + SupCon (standalone),5,7.19,0.9784
